date,ether_price,daily_tx_volume,unqiue_address_count,network_hashes,marketcap,tx_fee,network_util,gas_used
7/30/2015,0,8893,8894,11.5297,0,0,0,0
7/31/2015,0,0,0,51.4594,0,0,0,0
8/1/2015,0,0,0,57.7845,0,0,0,0
8/2/2015,0,0,0,67.9224,0,0,0,0
8/3/2015,0,0,0,74.5737,0,0,0,0
8/4/2015,0,0,0,82.0352,0,0,0,0
8/5/2015,0,0,0,86.1558,0,0,0,0
8/6/2015,0,0,0,88.3326,0,0,0,0
8/7/2015,2.77,2050,1087,95.2981,200.215391,3.73E+19,0.1317,49353826
8/8/2015,0.81,2881,827,104.8971,58.56937308,6.81E+19,0.0468,376006093
8/9/2015,0.74,1329,733,109.6916,53.52793425,1.41E+19,0.0024,38863003
8/10/2015,0.68,2037,1002,120.5988,49.20674727,3.12E+19,0.0045,74070061
8/11/2015,1.06,4963,2343,134.7695,76.73434492,1.13E+19,0.0099,163481740
8/12/2015,1.25,2036,907,143.0004,90.52282797,3.26E+19,0.0044,70102332
8/13/2015,1.78,2842,1275,156.6101,128.9548243,2.49E+19,0.0053,88234087
8/14/2015,1.8,3174,1595,196.7576,130.459747,1.44E+19,0.0043,78746522
8/15/2015,1.79,2284,1314,227.665,129.7860083,8.84E+18,0.0035,59565914
8/16/2015,1.37,2440,1203,231.8948,99.37054484,6.68E+18,0.0036,58241191
8/17/2015,1.2,2512,1250,258.9066,87.07363598,7.64E+18,0.0036,60515132
8/18/2015,1.27,2494,1295,270.4645,92.18615818,1.19E+19,0.0043,66816413
8/19/2015,1.26,3246,1351,284.0496,91.49465828,1.54E+19,0.0056,91746712
8/20/2015,1.48,2303,1168,221.4382,107.5010805,6.86E+18,0.005,63112713
8/21/2015,1.44,3919,1426,277.282,104.6340808,7.86E+18,0.0067,106379973
8/22/2015,1.39,3579,1415,312.6127,101.0392482,4.25E+19,0.0055,90744195
8/23/2015,1.35,4190,1571,317.1623,98.167089,8.05E+18,0.0075,117802449
8/24/2015,1.24,4432,1437,333.3458,90.20218242,8.88E+18,0.006,97648912
8/25/2015,1.17,4487,1581,325.2465,85.14140496,8.26E+18,0.0071,114480057
8/26/2015,1.16,4156,1528,343.1277,84.44402069,7.45E+18,0.0063,99511209
8/27/2015,1.13,5590,1592,341.1168,82.28784568,8.67E+18,0.01,147888097
